ensemble_id,init_type,energy_rank,energy,rmsd_to_reference_A,pred_e2e_A,pred_rg_A,ref_e2e_A,ref_rg_A
172,random,172,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
173,random,173,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
174,random,174,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
175,random,175,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
176,random,176,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
177,random,177,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
178,random,178,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
179,random,179,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
180,random,180,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
181,random,181,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
182,random,182,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
183,random,183,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
184,random,184,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
185,random,185,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
186,random,186,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
187,random,187,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
188,random,188,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
189,random,189,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
190,random,190,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
191,random,191,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
192,random,192,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
193,random,193,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
194,random,194,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
195,random,195,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
196,random,196,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
197,random,197,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
198,random,198,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
199,random,199,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
200,random,200,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
201,random,201,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
202,random,202,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
203,random,203,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
204,random,204,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
205,random,205,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
206,random,206,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
207,random,207,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
208,random,208,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
209,random,209,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
210,random,210,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
211,random,211,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
212,random,212,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
213,random,213,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
214,random,214,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
215,random,215,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
216,random,216,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
217,random,217,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
218,random,218,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
219,random,219,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
220,random,220,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
221,random,221,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
222,random,222,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
223,random,223,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
224,random,224,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
225,random,225,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
226,random,226,308.04174931421267,4.180308314031723,5.525560150510703,4.8009991420169325,5.508595556037851,4.848916770784997
